USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
gnome-r+     711  0.0  0.2 439064 15944 ?        Ssl  22:59   0:00 /usr/libexec/
polkitd      759  0.0  0.1 384680 10832 ?        Ssl  22:59   0:00 /usr/lib/polk
root         763  0.0  0.1 322196  7168 ?        Ssl  22:59   0:00 /usr/libexec/
root         779  0.0  0.1 321960  7620 ?        Ssl  22:59   0:00 /usr/libexec/
root         783  0.0  0.0  18092  2816 ?        Ss   22:59   0:00 /usr/sbin/cro
root         786  0.0  0.1 318612  6784 ?        Ssl  22:59   0:00 /usr/libexec/
root         793  0.0  0.1  18260  8704 ?        Ss   22:59   0:00 /usr/lib/syst
root         797  0.0  0.2 469516 13792 ?        Ssl  22:59   0:00 /usr/libexec/
avahi        834  0.0  0.0   8476  1292 ?        S    22:59   0:00 avahi-daemon:
syslog       855  0.0  0.0 222564  5888 ?        Ssl  22:59   0:00 /usr/sbin/rsy
root         868  0.0  0.3 344936 19056 ?        Ssl  22:59   0:00 /usr/sbin/Net
root         879  0.0  0.0  17376  6016 ?        Ss   22:59   0:00 /usr/sbin/wpa
root         943  0.0  0.2 392092 12500 ?        Ssl  22:59   0:00 /usr/sbin/Mod
root        1185  0.0  0.1  46912 11904 ?        Ss   22:59   0:00 /usr/sbin/cup
root        1191  0.0  0.3 120896 22528 ?        Ssl  22:59   0:00 /usr/bin/pyth
root        1201  0.0  0.1 323492  9088 ?        Ssl  22:59   0:00 /usr/sbin/gdm
rtkit       1257  0.0  0.0  22940  3328 ?        SNsl 22:59   0:00 /usr/libexec/
cups-br+    1329  0.0  0.3 268384 19328 ?        Ssl  22:59   0:00 /usr/sbin/cup
kernoops    1331  0.0  0.0  12744  2184 ?        Ss   22:59   0:00 /usr/sbin/ker
kernoops    1334  0.0  0.0  12744  2184 ?        Ss   22:59   0:00 /usr/sbin/ker
colord      1380  0.0  0.2 328744 14400 ?        Ssl  22:59   0:00 /usr/libexec/
root        1419  0.0  0.1 325340  9088 ?        Ssl  22:59   0:00 /usr/libexec/
root        1690  0.0  0.0      0     0 ?        I<   22:59   0:00 [kworker/u7:1
root        1729  0.0  0.1 398720 10624 ?        Sl   22:59   0:00 gdm-session-w
mackajay    1739  0.0  0.2  21604 13056 ?        Ss   22:59   0:02 /usr/lib/syst
mackajay    1743  0.0  0.0  21460  3600 ?        S    22:59   0:00 (sd-pam)
mackajay    1752  0.0  0.2 122344 12728 ?        S<sl 22:59   0:00 /usr/bin/pipe
mackajay    1753  0.0  0.0 106404  5888 ?        Ssl  22:59   0:00 /usr/bin/pipe
mackajay    1758  0.0  0.3 416044 19328 ?        S<sl 22:59   0:00 /usr/bin/wire
mackajay    1764  0.0  0.1 119152 11776 ?        S<sl 22:59   0:00 /usr/bin/pipe
mackajay    1765  0.0  0.1  11100  6876 ?        Ss   22:59   0:00 /usr/bin/dbus
mackajay    1767  0.0  0.1 325176 10112 ?        SLsl 22:59   0:00 /usr/bin/gnom
mackajay    1789  0.0  0.1 618960  7296 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    1806  0.0  0.0 317976  5888 ?        Ssl  22:59   0:00 /usr/libexec/
root        1814  0.0  0.0   2704  1920 ?        Ss   22:59   0:00 fusermount3 -
mackajay    1828  0.0  0.0 244336  5760 tty2     Ssl+ 22:59   0:00 /usr/libexec/
mackajay    1840  0.0  0.2 306868 16512 tty2     Sl+  22:59   0:00 /usr/libexec/
mackajay    1909  0.0  0.1 162652  7040 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    1911  0.0  0.0 100216  5504 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    1930  0.0  0.1 322952  7680 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    1942  0.0  0.1 468380  6784 ?        Sl   22:59   0:00 /usr/libexec/
mackajay    1945  0.0  0.2 742124 18176 ?        Ssl  22:59   0:00 /usr/libexec/
mackajay    1982  0.0  0.1 382940  7552 ?        Sl   22:59   0:00 /usr/libexec/
